"LANGUAGE","Українська","Language name (in native language).  This means the NAME OF THE LANGUAGE BEING TRANSLATED INTO, and should NOT be a translation of the word 'English'"
"DISABLED","Вимкнено",""
"LOW","Низька",""
"MID","Середня",""
"HIGH","Висока",""
"K45_TLM_DETECTED","Виявлено застарілу версію Transport Lines Manager від Klyte45. Рекомендується оновитися на версію від t1a2l для повної підтримки функцій.",""
"SETTINGS_ISSUE_DETECTED","Схоже, у ваших налаштуваннях є проблеми, які можуть вплинути на ваш досвід.",""
"SETTINGS_ISSUE_DETECTED_QUICKFIX","Швидке виправлення",""
"WHATSNEW_L1","Це повідомлення лише для того, щоб повідомити вас, що мод було оновлено.",""
"WHATSNEW_L2","Для детального списку змін, будь ласка, відвідайте Steam Workshop або GitHub.",""
"WHATSNEW_L3","Дякуємо за ваше використання та підтримку!",""
"ERROR","Ой! Щось пішло не так:",""
"ERROR_COPY","Копіювати",""
"ERROR_SUPPORT","Підтримка",""
"MODDESCRIPTION","Погляньте на своє місто з іншого ракурсу","Mod's Description"
"SETTINGS_GROUPNAME_GENERAL","Загальні налаштування",""
"SETTINGS_GROUPNAME_CAM","Налаштування камери",""
"SETTINGS_GROUPNAME_CAMCONTROL","Керування камерою",""
"SETTINGS_GROUPNAME_FREECAM","Налаштування вільного режиму камери",""
"SETTINGS_GROUPNAME_FOLLOW","Налаштування режиму слідування",""
"SETTINGS_GROUPNAME_WALKTHRU","Налаштування режиму прогулянки",""
"SETTINGS_GROUPNAME_KEYMAP","Прив'язка клавіш",""
"SETTINGS_GROUPNAME_SMOOTHTRANS","Налаштування плавного переходу",""
"SETTINGS_GROUPNAME_OPT","Налаштування оптимізації",""
"SETTINGS_GROUPNAME_INFOPANEL","Налаштування інформаційної панелі",""
"SETTINGS_RESETBTN","Скинути налаштування мода",""
"SETTINGS_RESETOFFSETBTN","Скинути налаштування типів",""
"SETTINGS_IMPORT","Імпортувати налаштування v2",""
