"LANGUAGE","Bahasa Indonesia","Language name (in native language).  This means the NAME OF THE LANGUAGE BEING TRANSLATED INTO, and should NOT be a translation of the word 'English'"
"DISABLED","Dinonaktifkan",""
"LOW","Rendah",""
"MID","Sedang",""
"HIGH","Tinggi",""
"K45_TLM_DETECTED","Versi lama Transport Lines Manager oleh Klyte45 terdeteksi. Pertimbangkan untuk memperbarui ke versi t1a2l untuk dukungan fitur lengkap.",""
"SETTINGS_ISSUE_DETECTED","Pengaturan Anda tampaknya memiliki masalah yang dapat memengaruhi pengalaman Anda.",""
"SETTINGS_ISSUE_DETECTED_QUICKFIX","Perbaikan cepat",""
"WHATSNEW_L1","Pesan ini hanya untuk memberitahu bahwa mod telah diperbarui.",""
"WHATSNEW_L2","Untuk daftar detail perubahan, silakan kunjungi Steam Workshop atau GitHub.",""
"WHATSNEW_L3","Terima kasih atas penggunaan dan support anda!",""
"ERROR","Ups! Ada yang salah:",""
"ERROR_COPY","Salin",""
"ERROR_SUPPORT","Dukungan",""
"MODDESCRIPTION","Lihat kota Anda dari perspektif yang berbeda","Mod's Description"
"SETTINGS_GROUPNAME_GENERAL","Opsi Umum",""
"SETTINGS_GROUPNAME_CAM","Opsi Kamera",""
"SETTINGS_GROUPNAME_CAMCONTROL","Kontrol Kamera",""
"SETTINGS_GROUPNAME_FREECAM","Opsi Mode Kamera Bebas",""
"SETTINGS_GROUPNAME_FOLLOW","Opsi Mode Ikuti",""
"SETTINGS_GROUPNAME_WALKTHRU","Opsi Mode Jelajah",""
"SETTINGS_GROUPNAME_KEYMAP","Pemetaan Tombol",""
"SETTINGS_GROUPNAME_SMOOTHTRANS","Opsi Transisi Halus",""
"SETTINGS_GROUPNAME_OPT","Opsi Optimasi",""
"SETTINGS_GROUPNAME_INFOPANEL","Opsi Panel Info",""
"SETTINGS_RESETBTN","Atur Ulang Pengaturan Mod",""
"SETTINGS_RESETOFFSETBTN","Atur Ulang Pengaturan Jenis",""
"SETTINGS_IMPORT","Impor pengaturan v2",""
"SETTINGS_IMPORTCONFIRM","Apakah Anda yakin untuk mengimpor pengaturan dari First Person Camera v2 (termasuk pengaturan mod dan pengaturan jenis)? Akan menimpa pengaturan mod yang ada, dan menggabungkan pengaturan jenis yang diimpor dengan yang ada.",""
"SETTINGS_IMPORTSUCCESSED","Pengaturan Anda telah berhasil diimpor.",""
"SETTINGS_OPENWIKI","Buka Wiki",""
"SETTINGS_HIDEUI","Sembunyikan UI Game",""
"SETTINGS_SETBACKCAMERA","Atur ulang kamera setelah dinonaktifkan",""
"SETTINGS_SETBACKCAMERA_DETAIL","Saat menonaktifkan kamera FPS, atur ulang ke posisi aslinya",""
"SETTINGS_SHOWINFOPANEL","Tampilkan panel info secara default",""
"SETTINGS_INFOPANELHEIGHTSCALE","Faktor penskalaan tinggi panel info",""
"SETTINGS_SPEEDUNIT","Unit kecepatan",""
"SETTINGS_SHOWSTATUS","Tampilkan informasi status",""
"SETTINGS_SHOWELAPSEDTIME","Tampilkan waktu berlalu",""
"SETTINGS_SHOWINGAMETIME","Tampilkan waktu dalam game",""
"SETTINGS_SHOWSLOPE","Tampilkan kemiringan",""
"SETTINGS_FADE","Aktifkan animasi pudar panel utama",""
"SETTINGS_MAXPITSHDEG","Sudut pandang vertikal maksimum",""
"SETTINGS_MAXPITSHDEG_DETAIL","Derajat maksimum untuk memutar kamera ke atas & ke bawah.",""
