"LANGUAGE","Русский","Language name (in native language).  This means the NAME OF THE LANGUAGE BEING TRANSLATED INTO, and should NOT be a translation of the word 'English'"
"DISABLED","Отключено",""
"LOW","Низкие",""
"MID","Средние",""
"HIGH","Высокие",""
"K45_TLM_DETECTED","Обнаружена старая версия Transport Lines Manager от Klyte45. Рекомендуется обновить до версии от t1a2l для полной поддержки функций.",""
"SETTINGS_ISSUE_DETECTED","Похоже, в ваших настройках есть проблемы, которые могут повлиять на ваш опыт.",""
"SETTINGS_ISSUE_DETECTED_QUICKFIX","Быстрое исправление",""
"WHATSNEW_L1","Это сообщение просто для того, чтобы вы знали, что мод был обновлён.",""
"WHATSNEW_L2","Подробный список изменений доступен в Steam Workshop или на GitHub.",""
"WHATSNEW_L3","Спасибо за использование и поддержку!",""
"ERROR","Упс! Что-то пошло не так:",""
"ERROR_COPY","Копировать",""
"ERROR_SUPPORT","Поддержка",""
"MODDESCRIPTION","Посмотрите на свой город с другой перспективы","Mod's Description"
"SETTINGS_GROUPNAME_GENERAL","Основные настройки",""
"SETTINGS_GROUPNAME_CAM","Настройки камеры",""
"SETTINGS_GROUPNAME_CAMCONTROL","Управление камерой",""
"SETTINGS_GROUPNAME_FREECAM","Настройки режима свободной камеры",""
"SETTINGS_GROUPNAME_FOLLOW","Настройки режима следования",""
"SETTINGS_GROUPNAME_WALKTHRU","Настройки режима прогулки",""
"SETTINGS_GROUPNAME_KEYMAP","Назначение клавиш",""
"SETTINGS_GROUPNAME_SMOOTHTRANS","Настройки плавного перехода",""
"SETTINGS_GROUPNAME_OPT","Настройки оптимизации",""
"SETTINGS_GROUPNAME_INFOPANEL","Настройки информационной панели",""
"SETTINGS_RESETBTN","Сбросить настройки мода",""
"SETTINGS_RESETOFFSETBTN","Сбросить настройки типов",""
"SETTINGS_IMPORT","Импорт настроек v2",""
"SETTINGS_IMPORTCONFIRM","Вы подтверждаете импорт настроек из First Person Camera v2 (включая настройки мода и типов)? Существующие настройки мода будут перезаписаны, а импортированные настройки типов объединены с текущими.",""
"SETTINGS_IMPORTSUCCESSED","Настройки успешно импортированы.",""
"SETTINGS_OPENWIKI","Открыть вики",""
"SETTINGS_HIDEUI","Скрыть игровой интерфейс",""
"SETTINGS_SETBACKCAMERA","Сбросить камеру после отключения",""
"SETTINGS_SETBACKCAMERA_DETAIL","При отключении камеры от первого лица возвращать её в исходное положение",""
"SETTINGS_SHOWINFOPANEL","Показывать информационную панель по умолчанию",""
"SETTINGS_INFOPANELHEIGHTSCALE","Коэффициент масштабирования высоты информационной панели",""
"SETTINGS_SPEEDUNIT","Единица измерения скорости",""
"SETTINGS_SHOWSTATUS","Показывать информацию о состоянии",""
"SETTINGS_SHOWELAPSEDTIME","Показывать прошедшее время",""
"SETTINGS_SHOWELAPSEDSIMTIME","Показывать прошедшее время симуляции",""
"SETTINGS_SHOWINGAMECLOCK","Показывать внутриигровые часы",""
"SETTINGS_SHOWREALLIFECLOCK","Показывать часы реального времени",""
"SETTINGS_SHOWSLOPE","Показывать уклон",""
"SETTINGS_SHOWPASSEREXCHANGEINFO","Показывать пассажирообмен",""
"SETTINGS_SHOWPASSEREXCHANGEINFO_DETAIL","При слежении за общественным транспортом показывает число пассажиров, вышедших и вошедших на остановке.",""
