"LANGUAGE","Nederlands","Language name (in native language).  This means the NAME OF THE LANGUAGE BEING TRANSLATED INTO, and should NOT be a translation of the word 'English'"
"DISABLED","Uitgeschakeld",""
"LOW","Laag",""
"MID","Gemiddeld",""
"HIGH","Hoog",""
"K45_TLM_DETECTED","Er is een oudere versie van Transport Lines Manager door Klyte45 gedetecteerd. Overweeg om bij te werken naar de versie van t1a2l voor volledige functieondersteuning.",""
"SETTINGS_ISSUE_DETECTED","Je instellingen lijken problemen te hebben die je ervaring kunnen beïnvloeden.",""
"SETTINGS_ISSUE_DETECTED_QUICKFIX","Snelle oplossing",""
"WHATSNEW_L1","Dit bericht is alleen om je te laten weten dat de mod is bijgewerkt.",""
"WHATSNEW_L2","Voor een gedetailleerde lijst van wijzigingen, bezoek de Steam Workshop of GitHub.",""
"WHATSNEW_L3","Bedankt voor je gebruik en ondersteuning!",""
"ERROR","Oeps! Er is iets misgegaan:",""
"ERROR_COPY","Kopiëren",""
"ERROR_SUPPORT","Ondersteuning",""
"MODDESCRIPTION","Bekijk je stad vanuit een ander perspectief","Mod's Description"
"SETTINGS_GROUPNAME_GENERAL","Algemene opties",""
"SETTINGS_GROUPNAME_CAM","Camera-opties",""
"SETTINGS_GROUPNAME_CAMCONTROL","Camerabediening",""
"SETTINGS_GROUPNAME_FREECAM","Vrije-camera modus opties",""
"SETTINGS_GROUPNAME_FOLLOW","Volgmodus opties",""
"SETTINGS_GROUPNAME_WALKTHRU","Doorloopmodus opties",""
"SETTINGS_GROUPNAME_KEYMAP","Toetsinstellingen",""
"SETTINGS_GROUPNAME_SMOOTHTRANS","Vloeiende overgangsopties",""
"SETTINGS_GROUPNAME_OPT","Optimalisatie-opties",""
"SETTINGS_RESETBTN","Mod-instellingen resetten",""
"SETTINGS_RESETOFFSETBTN","Type-instellingen resetten",""
"SETTINGS_IMPORT","v2-instellingen importeren",""
"SETTINGS_IMPORTCONFIRM","Bevestig je dat je instellingen van First Person Camera v2 wilt importeren (inclusief mod-instellingen en type-instellingen)? Dit overschrijft bestaande mod-instellingen en voegt geïmporteerde type-instellingen samen met de bestaande.",""
"SETTINGS_IMPORTSUCCESSED","Je instellingen zijn succesvol geïmporteerd.",""
"SETTINGS_OPENWIKI","Wiki openen",""
"SETTINGS_HIDEUI","Spel-UI verbergen",""
"SETTINGS_SETBACKCAMERA","Camera resetten na uitschakelen",""
"SETTINGS_SETBACKCAMERA_DETAIL","Wanneer de FPS-camera wordt uitgeschakeld, reset deze dan naar de oorspronkelijke positie",""
"SETTINGS_SHOWINFOPANEL","Informatiepaneel standaard tonen",""
"SETTINGS_INFOPANELHEIGHTSCALE","Schaalfactor voor de hoogte van het informatiepaneel",""
"SETTINGS_SPEEDUNIT","Snelheidseenheid",""
"SETTINGS_FADE","Vervagingsanimatie voor hoofdvenster inschakelen",""
"SETTINGS_MAXPITSHDEG","Maximale verticale kijkhoek",""
"SETTINGS_MAXPITSHDEG_DETAIL","De maximale graad om de camera op en neer te draaien.",""
"SETTINGS_ENABLEDOF","Dieptescherpte-effect toepassen",""
"SETTINGS_MOVEMENTSPEED","Bewegingssnelheid",""
"SETTINGS_SPEEDUPFACTOR","Versnellingsfactor voor beweging/verschuiving",""
"SETTINGS_INVERTROTATEHORIZONTAL","Horizontale rotatie omkeren",""
"SETTINGS_INVERTROTATEVERTICAL","Verticale rotatie omkeren",""
"SETTINGS_ROTATESENSITIVITY","Camera-rotatiegevoeligheid",""
"SETTINGS_ROTATEKEYFACTOR","Rotatiesnelheid met toetsen",""
"SETTINGS_FIELDOFVIEW","Camera-beeldhoek",""
"SETTINGS_PATHS_DETECTION","Botsing voor voetpaden",""
"SETTINGS_TRACKS_DETECTION","Botsing voor sporen",""
"SETTINGS_DETECTIONS_DETAIL","Schakel dit uit als het niet goed werkt met sommige assets",""
"SETTINGS_SHOWCURSORFREE","Cursor tonen in Vrije-camera modus",""
"SETTINGS_GROUNDCLIPING","Grondklemoptie",""
"SETTINGS_GROUNDCLIPING_DETAIL","Voor Vrije-camera modus:
-[Geen] vrije beweging
-[Boven grond] camera altijd boven de grond
-[Klem aan grond] camera kleeft aan de grond
-[Boven weg] camera altijd boven de dichtstbijzijnde weg
-[Klem aan weg] camera kleeft aan de dichtstbijzijnde weg of grond",""
