"LANGUAGE","Polski","Language name (in native language).  This means the NAME OF THE LANGUAGE BEING TRANSLATED INTO, and should NOT be a translation of the word 'English'"
"DISABLED","Wyłączono",""
"LOW","Niska",""
"MID","Średnia",""
"HIGH","Wysoka",""
"K45_TLM_DETECTED","Starsza wersja Transport Lines Manager stworzona przez Klyde45 została znaleziona. Przemyśl zaktualizowanie do wersji użytkownika t1a2l dla wsparcia wszystkich funkcji.",""
"SETTINGS_ISSUE_DETECTED","Twoje ustawienia wydają się nieprawidłowe, co może wpłynąć na doznania.",""
"SETTINGS_ISSUE_DETECTED_QUICKFIX","Szybka poprawka",""
"WHATSNEW_L1","Modyfikacja została zaktualizowana.",""
"WHATSNEW_L2","W celu poznania pełnej listy zmian, sprawdź Steam Workshop lub GitHub.",""
"WHATSNEW_L3","Dziękuję za korzystanie z moda i wsparcie!",""
"ERROR","Ups! Coś poszło nie tak:",""
"ERROR_COPY","Kopiuj",""
"ERROR_SUPPORT","Wsparcie techniczne",""
"MODDESCRIPTION","Spójrz na swoje miasto z innego ujęcia","Mod's Description"
"SETTINGS_GROUPNAME_GENERAL","Opcje Ogólne",""
"SETTINGS_GROUPNAME_CAM","Opcje kamery",""
"SETTINGS_GROUPNAME_CAMCONTROL","Panel sterowania kamery",""
"SETTINGS_GROUPNAME_FREECAM","Opcje trybu wolnej kamery",""
"SETTINGS_GROUPNAME_FOLLOW","Opcje trybu podążania",""
"SETTINGS_GROUPNAME_WALKTHRU","Opcje trybu przechadzki",""
"SETTINGS_GROUPNAME_KEYMAP","Skróty klawiszowe",""
"SETTINGS_GROUPNAME_SMOOTHTRANS","Opcje płynnego przejścia",""
"SETTINGS_GROUPNAME_OPT","Opcje usprawniania",""
"SETTINGS_GROUPNAME_INFOPANEL","Opcje panelu informacyjnego",""
"SETTINGS_RESETBTN","Przywróć ustawienia modyfikacji",""
"SETTINGS_RESETOFFSETBTN","Przywróć ustawienia typu",""
"SETTINGS_IMPORT","Przenieś ustawienia z wersji 2",""
"SETTINGS_IMPORTCONFIRM","Czy na pewno chcesz przyjąć ustawień z First Person Camera v2 (w tym ustawienia modyfikacji i typu)? Nadpisze istniejące ustawienia modyfikacji i połączy sprowadzone ustawienia typu z istniejącymi.",""
"SETTINGS_IMPORTSUCCESSED","Twoje ustawienia zostały sprowadzone pomyślnie",""
"SETTINGS_OPENWIKI","Otwórz wiki",""
"SETTINGS_HIDEUI","Ukryj interfejs gry",""
"SETTINGS_SETBACKCAMERA","Przywróć kamerę po wyłączeniu",""
"SETTINGS_SETBACKCAMERA_DETAIL","Po wyłączeniu kamery pierwszoosobowej przywróć jej pierwotnego położenia",""
"SETTINGS_SHOWINFOPANEL","Domyślnie pokazuj panel informacji",""
"SETTINGS_INFOPANELHEIGHTSCALE","Współczynnik skalowania wysokości panelu informacyjnego",""
"SETTINGS_SPEEDUNIT","Jednostka prędkości",""
"SETTINGS_SHOWSTATUS","Pokaż informacje o stanie",""
"SETTINGS_SHOWELAPSEDTIME","Pokaż czas, który upłynął",""
"SETTINGS_SHOWINGAMETIME","Pokaż czas w grze",""
"SETTINGS_SHOWSLOPE","Pokaż nachylenie",""
"SETTINGS_FADE","Włącz animację zanikania panelu głównego",""
"SETTINGS_MAXPITSHDEG","Maksymalny pionowy kąt widoku",""
"SETTINGS_MAXPITSHDEG_DETAIL","Maksymalny stopień obrotu kamery w górę i w dół.",""
"SETTINGS_ENABLEDOF","Zastosuj efekt głębi ostrości",""
"SETTINGS_MOVEMENTSPEED","Prędkość ruchu",""
"SETTINGS_SPEEDUPFACTOR","Współczynnik przyspieszenia dla ruchu/przesunięcia",""
"SETTINGS_INVERTROTATEHORIZONTAL","Odwróć obrót poziomy",""
"SETTINGS_INVERTROTATEVERTICAL","Odwróć obrót pionowy",""
"SETTINGS_ROTATESENSITIVITY","Czułość obrotu kamery",""
"SETTINGS_ROTATEKEYFACTOR","Prędkość obrotu za pomocą klawiszy",""
"SETTINGS_FIELDOFVIEW","Pole widzenia kamery",""
"SETTINGS_PATHS_DETECTION","Kolizja ścieżek dla pieszych",""
"SETTINGS_TRACKS_DETECTION","Kolizja torów",""
"SETTINGS_DETECTIONS_DETAIL","Wyłącz to, jeśli nie działa prawidłowo z niektórymi zasobami",""
"SETTINGS_SHOWCURSORFREE","Pokaż kursor w trybie wolnej kamery",""
"SETTINGS_GROUNDCLIPING","Opcje przenikania przez ziemię",""
"SETTINGS_GROUNDCLIPING_DETAIL","Dla trybu wolnej kamery:
– [Brak] kamera porusza się swobodne
– [Ponad ziemią] kamera jest zawsze nad ziemią
– [Przyciągaj do ziemi] kamera przylega do ziemi
– [Ponad drogą] kamera jest zawsze nad najbliższą drogą
– [Przyciągaj do drogi] kamera przylega do najbliższej drogi lub ziemi",""
"SETTINGS_GROUNDCLIPING_NONE","Brak",""
"SETTINGS_GROUNDCLIPING_ABOVE_GROUND","Ponad ziemią",""
