"LANGUAGE","Türkçe","Language name (in native language).  This means the NAME OF THE LANGUAGE BEING TRANSLATED INTO, and should NOT be a translation of the word 'English'"
"DISABLED","Kapalı",""
"LOW","Düşük",""
"MID","Orta",""
"HIGH","Yüksek",""
"K45_TLM_DETECTED","Klyte45 tarafından geliştirilen Transport Lines Manager'ın eski bir sürümü tespit edildi. Tüm özellik desteği için t1a2l'nin sürümüne güncelleme yapmanız önerilir.",""
"SETTINGS_ISSUE_DETECTED","Ayarlarınızda deneyiminizi etkileyebilecek sorunlar görünüyor.",""
"SETTINGS_ISSUE_DETECTED_QUICKFIX","Hızlı onarım",""
"WHATSNEW_L1","Bu mesaj sadece modun güncellendiğini bildirmek içindir.",""
"WHATSNEW_L2","Değişikliklerin ayrıntılı listesi için lütfen Steam Workshop veya GitHubı ziyaret edin.",""
"WHATSNEW_L3","Kullanımınız ve desteğiniz için teşekkür ederiz!",""
"ERROR","Olamaz! Bir şeyler yanlış gitti:",""
"ERROR_COPY","Kopyala",""
"ERROR_SUPPORT","Destek",""
"MODDESCRIPTION","Şehrinizi farklı bir perspektiften görün","Mod's Description"
"SETTINGS_GROUPNAME_GENERAL","Genel Ayarlar",""
"SETTINGS_GROUPNAME_CAM","Kamera Ayarları",""
"SETTINGS_GROUPNAME_CAMCONTROL","Kamera Kontrolleri",""
"SETTINGS_GROUPNAME_FREECAM","Serbest Kamera Modu Ayarları",""
"SETTINGS_GROUPNAME_FOLLOW","Takip Modu Ayarları",""
"SETTINGS_GROUPNAME_WALKTHRU","Gezinti Modu Seçenekleri",""
"SETTINGS_GROUPNAME_KEYMAP","Tuş Atamaları",""
"SETTINGS_GROUPNAME_SMOOTHTRANS","Sorunsuz Geçiş Ayarları",""
"SETTINGS_GROUPNAME_OPT","Optimizasyon Ayarları",""
"SETTINGS_GROUPNAME_INFOPANEL","Bilgi Paneli Ayarları",""
"SETTINGS_RESETBTN","Mod Ayarlarını Sıfırla",""
