"LANGUAGE","Magyar","Language name (in native language).  This means the NAME OF THE LANGUAGE BEING TRANSLATED INTO, and should NOT be a translation of the word 'English'"
"DISABLED","Letiltva",""
"LOW","Alacsony",""
"MID","Közepes",""
"HIGH","Magas",""
"K45_TLM_DETECTED","A Klyte45 által készített Transport Lines Manager egy régebbi verziója észlelve. A teljes funkciótámogatás érdekében fontolja meg a frissítést t1a2l verziójára.",""
"SETTINGS_ISSUE_DETECTED","A beállításaidban problémák lehetnek, amelyek befolyásolhatják a felhasználói élményt.",""
"SETTINGS_ISSUE_DETECTED_QUICKFIX","Gyors javítás",""
"WHATSNEW_L1","Ez az üzenet csak tájékoztatásul szolgál, hogy a mod frissítve lett.",""
"WHATSNEW_L2","A változások részletes listájáért látogasson el a Steam Workshopra vagy a GitHubra.",""
"WHATSNEW_L3","Köszönjük a használatot és a támogatást!",""
"ERROR","Hoppá! Valami hiba történt:",""
"ERROR_COPY","Másolás",""
"ERROR_SUPPORT","Támogatás",""
"MODDESCRIPTION","Nézd meg a városodat egy másik perspektívából","Mod's Description"
"SETTINGS_GROUPNAME_GENERAL","Általános beállítások",""
"SETTINGS_GROUPNAME_CAM","Kamera beállítások",""
"SETTINGS_GROUPNAME_CAMCONTROL","Kamera vezérlés",""
"SETTINGS_GROUPNAME_FREECAM","Szabad-kamera mód beállítások",""
"SETTINGS_GROUPNAME_FOLLOW","Követés mód beállítások",""
"SETTINGS_GROUPNAME_WALKTHRU","Séta mód beállítások",""
"SETTINGS_GROUPNAME_KEYMAP","Billentyű-hozzárendelések",""
"SETTINGS_GROUPNAME_SMOOTHTRANS","Simát átmenet beállítások",""
"SETTINGS_GROUPNAME_OPT","Optimalizálási beállítások",""
"SETTINGS_GROUPNAME_INFOPANEL","Információs panel beállításai",""
"SETTINGS_RESETBTN","Mod beállítások visszaállítása",""
"SETTINGS_RESETOFFSETBTN","Típus beállítások visszaállítása",""
"SETTINGS_IMPORT","v2 beállítások importálása",""
"SETTINGS_IMPORTCONFIRM","Biztosan importálja a First Person Camera v2 beállításait (beleértve a mod és a típus beállításokat)? Felülírja a meglévő mod beállításokat, és az importált típus beállításokat egyesíti a meglévőkkel.",""
"SETTINGS_IMPORTSUCCESSED","A beállításaid sikeresen importálva lettek.",""
"SETTINGS_OPENWIKI","Wiki megnyitása",""
"SETTINGS_HIDEUI","Játék UI elrejtése",""
"SETTINGS_SETBACKCAMERA","Kamera visszaállítása letiltás után",""
"SETTINGS_SETBACKCAMERA_DETAIL","Az FPS kamera letiltásakor állítsa vissza eredeti pozíciójára",""
"SETTINGS_SHOWINFOPANEL","Információs panel alapértelmezett megjelenítése",""
"SETTINGS_INFOPANELHEIGHTSCALE","Információs panel magasságának skálázási tényezője",""
"SETTINGS_SPEEDUNIT","Sebesség egység",""
"SETTINGS_SHOWSTATUS","Állapotinformációk megjelenítése",""
"SETTINGS_SHOWELAPSEDTIME","Eltelt idő megjelenítése",""
"SETTINGS_SHOWINGAMETIME","Játékbeli idő megjelenítése",""
"SETTINGS_SHOWSLOPE","Lejtés megjelenítése",""
"SETTINGS_FADE","Fő panel halványítási animáció engedélyezése",""
"SETTINGS_MAXPITSHDEG","Maximális függőleges nézőszög",""
"SETTINGS_MAXPITSHDEG_DETAIL","A kamera fel és le forgatásának maximális fokszáma.",""
"SETTINGS_ENABLEDOF","Mélységélesség effektus alkalmazása",""
"SETTINGS_MOVEMENTSPEED","Mozgási sebesség",""
"SETTINGS_SPEEDUPFACTOR","Gyorsítási tényező mozgáshoz/eltoláshoz",""
"SETTINGS_INVERTROTATEHORIZONTAL","Vízszintes forgatás megfordítása",""
"SETTINGS_INVERTROTATEVERTICAL","Függőleges forgatás megfordítása",""
"SETTINGS_ROTATESENSITIVITY","Kamera forgatási érzékenység",""
"SETTINGS_ROTATEKEYFACTOR","Forgatási sebesség billentyűkkel",""
"SETTINGS_FIELDOFVIEW","Kamera látószöge",""
"SETTINGS_PATHS_DETECTION","Ütközés gyalogos utakhoz",""
"SETTINGS_TRACKS_DETECTION","Ütközés sínekhez",""
"SETTINGS_DETECTIONS_DETAIL","Tiltsa le, ha nem működik megfelelően egyes eszközökkel",""
"SETTINGS_SHOWCURSORFREE","Kurzor megjelenítése Szabad-kamera módban",""
"SETTINGS_GROUNDCLIPING","Talajhoz igazítás beállítás",""
"SETTINGS_GROUNDCLIPING_DETAIL","Szabad-kamera módhoz:
-[Nincs] szabad mozgás
-[Talaj felett] kamera mindig a talaj felett van
-[Talajhoz igazítva] kamera a talajhoz tapad
-[Út felett] kamera mindig a legközelebbi út felett van
-[Úthoz igazítva] kamera a legközelebbi úthoz vagy talajhoz tapad",""
"SETTINGS_GROUNDCLIPING_NONE","Nincs",""
"SETTINGS_GROUNDCLIPING_ABOVE_GROUND","Talaj felett",""
"SETTINGS_GROUNDCLIPING_SNAP_TO_GROUND","Talajhoz igazítva",""
"SETTINGS_GROUNDCLIPING_ABOVE_ROAD","Út felett",""
"SETTINGS_GROUNDCLIPING_SNAP_TO_ROAD","Úthoz igazítva",""
"SETTINGS_GROUNDLEVELOFFSET","Talajszint eltolása",""
"SETTINGS_GROUNDLEVELOFFFSET_DETAIL","Függőleges eltolás a talajszinthez a talajhoz igazítás beállításnál",""
"SETTINGS_ROADLEVELOFFSET","Útszint eltolása",""
"SETTINGS_ROADLEVELOFFSET_DETAIL","Függőleges eltolás az útszinthez a talajhoz igazítás beállításnál",""
"SETTINGS_TARGETSTOFOLLOW","Követendő célpontok:",""
"SETTINGS_SHOWCURSORFOLLOW","Kurzor megjelenítése Követés/Séta módban",""
"SETTINGS_STICKTOFRONTVEHICLE","Mindig a jármű elejét kövesd",""
"SETTINGS_OFFSETMOVEMENTSPEED","Eltolási mozgási sebesség",""
"SETTINGS_FOLLOWCAMOFFSET","Követés mód univerzális kamera eltolása",""
"SETTINGS_VEHICLEFIXEDOFFERT","Rögzített kamera eltolás járműhöz",""
"SETTINGS_MIDVEHFIXEDOFFSET","Rögzített kamera eltolás jármű közepéhez",""
"SETTINGS_PEDSTRIANFIXEDOFFSET","Rögzített kamera eltolás gyalogoshoz",""
"SETTINGS_PERIODWALK","Időtartam minden véletlenszerű célpontnál",""
"SETTINGS_MANUALSWITCHWALK","Kézi célpont váltás (Másodlagos kattintás)",""
"SETTINGS_MANUALSWITCHWALK_DETAIL","Alternatívaként használja a másodlagos egérkattintást a követési célok váltásához.",""
"SETTINGS_SELECTPEDESTRIAN","Gyalogosok",""
"SETTINGS_SELECTPASSENGER","Tömegközlekedési eszközön utazó gyalogosok",""
"SETTINGS_SELECTWAITING","Tömegközlekedési eszközre váró gyalogosok",""
"SETTINGS_SELECTDRIVING","Vezető/Utazó lakosok",""
"SETTINGS_SELECTPUBLICTRANSIT","Tömegközlekedési járművek",""
"SETTINGS_SELECTSERVICE","Szolgáltató járművek",""
"SETTINGS_SELECTCARGO","Teherjárművek",""
"SETTINGS_SELECTOUTSIDE","A határon kívüli célpontok",""
"SETTINGS_KEYCAMTOGGLE","Szabad-kamera mód",""
"SETTINGS_KEYWALKTHRUTOGGLE","Átjáró mód",""
"SETTINGS_KEYTOGGLE_DETAIL","Váltás erre a módra megnyomáskor. Ha már aktív, kikapcsolja az FPS-kamerát.",""
"SETTINGS_KEYFOLLOWTOGGLE","Követési mód: Eredeti/Mod váltás",""
"SETTINGS_KEYFOLLOWTOGGLE_DETAIL","Váltás az eredeti követési nézet és a mod követési módja között",""
"SETTINGS_KEYINFOPANELTOGGLE","Információs panel be/ki",""
"SETTINGS_KEYSPPEDUP","Mozgás/eltolás gyorsítása",""
"SETTINGS_KEYCAMRESET","Kamera eltolás és forgatás visszaállítása",""
"SETTINGS_KEYCURSORTOGGLE","Kurzor láthatóság be/ki",""
"SETTINGS_KEYAUTOMOVE","Automatikus mozgás be/ki a Szabad-kamera módban",""
"SETTINGS_KEYAUTOMOVE_DETAIL","A kamera automatikusan előre mozog, ha be van kapcsolva.",""
"SETTINGS_KEYSAVEFOFFSET","Típusbeállítás mentése",""
"SETTINGS_KEYSAVEFOFFSET_DETAIL","Követési/Átjáró módban menti az aktuális kamera eltolási és forgatási beállításokat
a követett cél típusbeállításaként",""
"SETTINGS_KEYMOVEFORWARD","Előre mozgatás/eltolás",""
"SETTINGS_KEYMOVEBACKWARD","Hátra mozgatás/eltolás",""
"SETTINGS_KEYMOVELEFT","Balra mozgatás/eltolás",""
"SETTINGS_KEYMOVERIFHT","Jobbra mozgatás/eltolás",""
"SETTINGS_KEYMOVEUP","Felfelé mozgatás/eltolás",""
"SETTINGS_KEYMOVEDOWN","Lefelé mozgatás/eltolás",""
"SETTINGS_KEYROTATELEFT","Balra forgatás/nézés",""
"SETTINGS_KEYROTATERIGHT","Jobbra forgatás/nézés",""
"SETTINGS_KEYROTATEUP","Felfelé forgatás/nézés",""
"SETTINGS_KEYROTATEDOWN","Lefelé forgatás/nézés",""
"SETTINGS_KEYUUITOGGLE","Főpanel be/ki (UUI mod szükséges)",""
"SETTINGS_SMOOTRANSITION","Simított átmenet alkalmazása",""
"SETTINGS_SMOOTRANSITION_DETAIL","Amikor a kamera mozog, forog vagy nagyít, az átmenet lehet sima vagy azonnali.
A beállítás engedélyezése késleltetettnek tüntetheti fel a kamerát.",""
"SETTINGS_TRANSSPEED","Simított átmenet sebessége",""
"SETTINGS_MINTRANSDISTANCE","Simított átmenet minimális távolsága",""
"SETTINGS_MINTRANSDISTANCE_DETAIL","Követési módban a kamerának azonnal követnie kell a célt, még akkor is, ha a simított átmenet engedélyezett.
Ez határozza meg a simított átmenet alkalmazásának kezdő minimális távolságát.",""
"SETTINGS_MAXTRANSDISTANCE","Simított átmenet maximális távolsága",""
"SETTINGS_MAXTRANSDISTANCE_DETAIL","Ha a kamera célpozíciója túl messze van, a simított átmenet túl sokáig tart.
Ez a szám határozza meg azt a távolságot, amely felett az átmenet nem alkalmazandó.",""
"SETTINGS_CAMNEARCLIPPLANE","Kamera közeli vágási sík",""
"SETTINGS_FOVIEWSCROLLFACTOR","Nézeti szög nagyítási tényezője görgetéssel",""
"SETTINGS_FOVIEWSCROLLFACTOR_DETAIL","Az FPS-kamerában a görgő nagyítás sebességének beállítása",""
"SETTINGS_LODOPT","LOD optimalizálási szint",""
"SETTINGS_LODOPT_DETAIL","Amikor az FPS-kamera engedélyezett:
-[Letiltva] LOD optimalizálás letiltása
-[Alacsony] LOD távolságok optimalizálása csak távoli lakosok, járművek, fák és utak esetén
-[Közepes] További optimalizálás távoli kellékek és épületek esetén az előző szint alapján
-[Magas] További LOD távolság csökkentés az előző szint alapján",""
"SETTINGS_SHADOWSOPT","Árnyék távolság optimalizálás alkalmazása",""
"SETTINGS_SHADOWSOPT_DETAIL","Amikor az FPS-kamera engedélyezett, végezzen árnyék távolság beállítást.",""
"VEHICLE_AITYPE_BUS","Busz",""
"VEHICLE_AITYPE_TRAM","Villamos",""
"VEHICLE_AITYPE_METRO","Metró",""
"VEHICLE_AITYPE_TRAIN","Vonat",""
"VEHICLE_AITYPE_FLIGHT","Repülőgép",""
"VEHICLE_AITYPE_BLIMP","Légballon",""
"VEHICLE_AITYPE_GONDOLA","Kötélpálya",""
"VEHICLE_AITYPE_TROLLEYBUS","Trolibusz",""
"VEHICLE_AITYPE_FERRY","Kompp",""
"VEHICLE_AITYPE_SHIP","Hajó",""
"VEHICLE_AITYPE_HELICOPTER","Helikopter",""
"VEHICLE_AITYPE_MEDICAL","Egészségügyi",""
"VEHICLE_AITYPE_DISASTERRESPONSE","Katasztrófavédelmi",""
"VEHICLE_AITYPE_FIREFIGHTING","Tűzoltó",""
"VEHICLE_AITYPE_POLICE","Rendőrségi",""
"VEHICLE_AITYPE_GARBAGE","Szemétszállító",""
"VEHICLE_AITYPE_DEATHCARE","Halottkém",""
"VEHICLE_AITYPE_MAINTENANCE","Karbantartó",""
"VEHICLE_AITYPE_POSTAL","Postai",""
"VEHICLE_AITYPE_SNOWPLOWING","Hóeltakarítás",""
"VEHICLE_AITYPE_WATERPUMPING","Vízszivattyúzás",""
"VEHICLE_AITYPE_BANK","Bank",""
"VEHICLE_AITYPE_TAXI","Taxi",""
"UNKNOWN","(Ismeretlen)",""
"INVALID","(Érvénytelen)",""
"INFO_HUMAN_OCCUPATION","Foglalkozás",""
"INFO_HUMAN_HOME","Otthon",""
"INFO_HUMAN_HOMELESS","(Hajléktalan)",""
"INFO_HUMAN_HOTEL","Szálloda",""
"INFO_VEHICLE_OWNER","Tulajdonos",""
"INFO_VEHICLE_LOAD","Rakomány",""
"INFO_VEHICLE_WORKSHIFT","Műszak",""
"INFO_VEHICLE_PUBLICTRANSIT_TRANSIT","Járat",""
"INFO_VEHICLE_PUBLICTRANSIT_IRREGULAR","(Rendhagyó)",""
"INFO_VEHICLE_PUBLICTRANSIT_PASSENGER","Utas",""
"INFO_VEHICLE_PUBLICTRANSIT_NEXTSTATIION","Következő megálló",""
"INFO_VEHICLE_PUBLICTRANSIT_NEXTSTOP","Következő megálló",""
"INFO_VEHICLE_SERVICE","Szolgáltatás",""
"INFO_DISTRICT","Kerület",""
"INFO_DLCDISTRICT_PARK","Park",""
"INFO_DLCDISTRICT_INDUSTRY","Ipari övezet",""
"INFO_DLCDISTRICT_CAMPUS","Campus övezet",""
"INFO_DLCDISTRICT_AIRPORT","Repülőtéri övezet",""
"INFO_DLCDISTRICT_PEDZONE","Gyalogos övezet",""
"INFO_ROAD","Út",""
"INFO_VSTATUS","Jármű állapota",""
"INFO_TIME","Idő: ",""
"INFO_SLOPE","Lejtés: ",""
"INFO_NAME","Név",""
"INFO_STATUS","Állapot",""
"INFO_FOLLOW","Követési mód",""
"INFO_OFFSETSAVED","„{0}” típusbeállítás mentve",""
"INFO_RACE_EVENTROUTE","Esemény útvonal",""
"INFO_RACE_DRIVER","Versenyző",""
"INFO_RACE_TEAM","Csapat",""
"INFO_RACE_POS","Helyezés",""
"INFO_RACE_PROGRESS","Haladás",""
"INFO_ACMEPOSSAVED","Az aktuális pozíció mentve az ACME {0}. helyére",""
"FOLLOWBTN_TOOLTIP","Követési mód indítása",""
"WALKTHRUBTN_TEXT","Bepillantás indítása",""
"ALLSETTINGSBTN_TEXT","Összes beállítás",""
"MAINPANELBTN_TOOLTIP","FPS Kamera","That is the localized short name of this mod."
