"LANGUAGE","Slovenčina","Language name (in native language).  This means the NAME OF THE LANGUAGE BEING TRANSLATED INTO, and should NOT be a translation of the word 'English'"
"DISABLED","Vypnuté",""
"LOW","Nízka",""
"MID","Stredná",""
"HIGH","Vysoká",""
"K45_TLM_DETECTED","Bola zistená staršia verzia Transport Lines Manager od Klyte45. Zvážte aktualizáciu na verziu od t1a2l pre plnú podporu funkcií.",""
"SETTINGS_ISSUE_DETECTED","Vaše nastavenia majú problémy, ktoré môžu ovplyvniť vašu skúsenosť.",""
"SETTINGS_ISSUE_DETECTED_QUICKFIX","Rýchla oprava",""
"WHATSNEW_L1","Táto správa vás len informuje, že mod bol aktualizovaný.",""
"WHATSNEW_L2","Podrobný zoznam zmien nájdete v Steam Workshop alebo na GitHub.",""
"WHATSNEW_L3","Ďakujeme za používanie a podporu!",""
"ERROR","Ups! Niečo sa pokazilo:",""
"ERROR_COPY","Kopírovať",""
"ERROR_SUPPORT","Podpora",""
"MODDESCRIPTION","Pozrite sa na svoje mesto z inej perspektívy","Mod's Description"
"SETTINGS_GROUPNAME_GENERAL","Všeobecné možnosti",""
"SETTINGS_GROUPNAME_CAM","Možnosti kamery",""
"SETTINGS_GROUPNAME_CAMCONTROL","Ovládanie kamery",""
"SETTINGS_GROUPNAME_FREECAM","Možnosti režimu voľnej kamery",""
"SETTINGS_GROUPNAME_FOLLOW","Možnosti režimu sledovania",""
"SETTINGS_GROUPNAME_WALKTHRU","Možnosti režimu prechádzania",""
"SETTINGS_GROUPNAME_KEYMAP","Priradenie kláves",""
"SETTINGS_GROUPNAME_SMOOTHTRANS","Možnosti plynulého prechodu",""
"SETTINGS_GROUPNAME_OPT","Optimalizačné možnosti",""
"SETTINGS_GROUPNAME_INFOPANEL","Možnosti informačného panela",""
"SETTINGS_RESETBTN","Obnoviť nastavenia modu",""
"SETTINGS_RESETOFFSETBTN","Obnoviť nastavenia typu",""
"SETTINGS_IMPORT","Importovať nastavenia v2",""
"SETTINGS_IMPORTCONFIRM","Potvrdzujete import nastavení z First Person Camera v2 (vrátane nastavení modu a nastavení typu)? Prepíšu sa existujúce nastavenia modu a importované nastavenia typu sa spoja s existujúcimi.",""
"SETTINGS_IMPORTSUCCESSED","Vaše nastavenia boli úspešne importované.",""
"SETTINGS_OPENWIKI","Otvoriť Wiki",""
"SETTINGS_HIDEUI","Skryť herné UI",""
"SETTINGS_SETBACKCAMERA","Obnoviť kameru po vypnutí",""
"SETTINGS_SETBACKCAMERA_DETAIL","Pri vypnutí FPS kamery ju obnoviť do pôvodnej polohy",""
"SETTINGS_SHOWINFOPANEL","Predvolene zobraziť informačný panel",""
"SETTINGS_INFOPANELHEIGHTSCALE","Mierka výšky informačného panelu",""
"SETTINGS_SPEEDUNIT","Jednotka rýchlosti",""
"SETTINGS_SHOWSTATUS","Zobraziť informácie o stave",""
"SETTINGS_SHOWELAPSEDTIME","Zobraziť uplynutý čas",""
"SETTINGS_SHOWINGAMETIME","Zobraziť čas v hre",""
"SETTINGS_SHOWSLOPE","Zobraziť sklon",""
"SETTINGS_FADE","Povoliť animáciu plynulého zhasnutia hlavného panelu",""
"SETTINGS_MAXPITSHDEG","Maximálny vertikálny uhol pohľadu",""
"SETTINGS_MAXPITSHDEG_DETAIL","Maximálny stupeň na otočenie kamery hore a dole.",""
"SETTINGS_ENABLEDOF","Použiť efekt hĺbky ostrosti",""
"SETTINGS_MOVEMENTSPEED","Rýchlosť pohybu",""
"SETTINGS_SPEEDUPFACTOR","Faktor zrýchlenia pre pohyb/posunutie",""
"SETTINGS_INVERTROTATEHORIZONTAL","Invertovať horizontálne otáčanie",""
"SETTINGS_INVERTROTATEVERTICAL","Invertovať vertikálne otáčanie",""
"SETTINGS_ROTATESENSITIVITY","Citlivosť otáčania kamery",""
"SETTINGS_ROTATEKEYFACTOR","Rýchlosť otáčania pomocou kláves",""
"SETTINGS_FIELDOFVIEW","Zorné pole kamery",""
"SETTINGS_PATHS_DETECTION","Kolízia pre chodníky",""
"SETTINGS_TRACKS_DETECTION","Kolízia pre koľaje",""
"SETTINGS_DETECTIONS_DETAIL","Vypnite to, ak to nefunguje dobre s niektorými assetmi",""
"SETTINGS_SHOWCURSORFREE","Zobraziť kurzor v režime voľnej kamery",""
"SETTINGS_GROUNDCLIPING","Možnosť prilnutia k zemi",""
"SETTINGS_GROUNDCLIPING_DETAIL","Pre režim voľnej kamery:
-[Žiadne] voľný pohyb
-[Nad zemou] kamera je vždy nad zemou
-[Prilepiť k zemi] kamera sa drží zeme
-[Nad cestou] kamera je vždy nad najbližšou cestou
-[Prilepiť k ceste] kamera sa drží najbližšej cesty alebo zeme",""
"SETTINGS_GROUNDCLIPING_NONE","Žiadne",""
"SETTINGS_GROUNDCLIPING_ABOVE_GROUND","Nad zemou",""
"SETTINGS_GROUNDCLIPING_SNAP_TO_GROUND","Prilepiť k zemi",""
"SETTINGS_GROUNDCLIPING_ABOVE_ROAD","Nad cestou",""
"SETTINGS_GROUNDCLIPING_SNAP_TO_ROAD","Prilepiť k ceste",""
"SETTINGS_GROUNDLEVELOFFSET","Posunutie úrovne terénu",""
"SETTINGS_GROUNDLEVELOFFFSET_DETAIL","Vertikálne posunutie úrovne terénu pre možnosť prilnutia k zemi",""
"SETTINGS_ROADLEVELOFFSET","Posunutie úrovne cesty",""
"SETTINGS_ROADLEVELOFFSET_DETAIL","Vertikálne posunutie úrovne cesty pre možnosť prilnutia k zemi",""
"SETTINGS_TARGETSTOFOLLOW","Ciele na sledovanie:",""
"SETTINGS_SHOWCURSORFOLLOW","Zobraziť kurzor v režime sledovania/prechádzania",""
"SETTINGS_STICKTOFRONTVEHICLE","Vždy sledovať predné vozidlo",""
"SETTINGS_OFFSETMOVEMENTSPEED","Rýchlosť pohybu posunutia",""
"SETTINGS_FOLLOWCAMOFFSET","Univerzálne posunutie kamery v režime sledovania",""
"SETTINGS_VEHICLEFIXEDOFFERT","Pevné posunutie kamery pre vozidlo",""
"SETTINGS_MIDVEHFIXEDOFFSET","Pevné posunutie kamery pre stred vozidla",""
"SETTINGS_PEDSTRIANFIXEDOFFSET","Pevné posunutie kamery pre chodca",""
"SETTINGS_PERIODWALK","Obdobie pre každý náhodný cieľ",""
"SETTINGS_MANUALSWITCHWALK","Manuálne prepnutie cieľa (Sekundárny klik)",""
"SETTINGS_MANUALSWITCHWALK_DETAIL","Namiesto toho použite sekundárny klik myšou na prepínanie sledovaných cieľov.",""
"SETTINGS_SELECTPEDESTRIAN","Chodci",""
"SETTINGS_SELECTPASSENGER","Cestujúci v hromadnej doprave",""
"SETTINGS_SELECTWAITING","Chodci čakajúci na hromadnú dopravu",""
"SETTINGS_SELECTDRIVING","Vodiči/Cestujúci",""
"SETTINGS_SELECTPUBLICTRANSIT","Vozidlá hromadnej dopravy",""
"SETTINGS_SELECTSERVICE","Servisné vozidlá",""
"SETTINGS_SELECTCARGO","Nákladné vozidlá",""
"SETTINGS_SELECTOUTSIDE","Ciele mimo hranice",""
"SETTINGS_KEYCAMTOGGLE","Režim voľnej kamery",""
"SETTINGS_KEYWALKTHRUTOGGLE","Režim prechádzania",""
"SETTINGS_KEYTOGGLE_DETAIL","Prepne do tohto režimu po stlačení. Ak je už aktívny, vypne kameru FPS.",""
"SETTINGS_KEYFOLLOWTOGGLE","Režim sledovania: Prepínač medzi hrou a modom",""
"SETTINGS_KEYFOLLOWTOGGLE_DETAIL","Prepína medzi štandardným pohľadom sledovania v hre a režimom sledovania modu",""
"SETTINGS_KEYINFOPANELTOGGLE","Prepnúť informačný panel",""
"SETTINGS_KEYSPPEDUP","Zrýchliť pohyb/posunutie",""
"SETTINGS_KEYCAMRESET","Resetovať posunutie a rotáciu kamery",""
"SETTINGS_KEYCURSORTOGGLE","Prepnúť viditeľnosť kurzora",""
"SETTINGS_KEYAUTOMOVE","Prepnúť automatický pohyb v režime voľnej kamery",""
"SETTINGS_KEYAUTOMOVE_DETAIL","Keď je zapnutý, kamera sa automaticky pohybuje dopredu.",""
"SETTINGS_KEYSAVEFOFFSET","Uložiť nastavenie typu",""
"SETTINGS_KEYSAVEFOFFSET_DETAIL","V režime Sledovania/Prechádzania uloží aktuálne nastavenia posunutia a rotácie kamery ako nastavenie typu pre sledovaný cieľ.",""
"SETTINGS_KEYMOVEFORWARD","Pohyb/Posunutie dopredu",""
"SETTINGS_KEYMOVEBACKWARD","Pohyb/Posunutie dozadu",""
"SETTINGS_KEYMOVELEFT","Pohyb/Posunutie doľava",""
"SETTINGS_KEYMOVERIFHT","Pohyb/Posunutie doprava",""
"SETTINGS_KEYMOVEUP","Pohyb/Posunutie nahor",""
"SETTINGS_KEYMOVEDOWN","Pohyb/Posunutie nadol",""
"SETTINGS_KEYROTATELEFT","Rotácia/Pohľad doľava",""
"SETTINGS_KEYROTATERIGHT","Rotácia/Pohľad doprava",""
"SETTINGS_KEYROTATEUP","Rotácia/Pohľad nahor",""
"SETTINGS_KEYROTATEDOWN","Rotácia/Pohľad nadol",""
"SETTINGS_KEYUUITOGGLE","Prepnúť hlavný panel (vyžaduje mod UUI)",""
"SETTINGS_SMOOTRANSITION","Použiť plynulý prechod",""
"SETTINGS_SMOOTRANSITION_DETAIL","Keď sa kamera pohybuje, otáča alebo približuje, prechod môže byť plynulý alebo okamžitý.
Zapnutie tejto možnosti môže spôsobiť, že kamera bude pôsobiť oneskorene.",""
"SETTINGS_TRANSSPEED","Rýchlosť plynulého prechodu",""
"SETTINGS_MINTRANSDISTANCE","Minimálna vzdialenosť pre plynulý prechod",""
