"LANGUAGE","Deutsch","Language name (in native language).  This means the NAME OF THE LANGUAGE BEING TRANSLATED INTO, and should NOT be a translation of the word 'English'"
"DISABLED","Deaktiviert",""
"LOW","Niedrig",""
"MID","Mittel",""
"HIGH","Hoch",""
"K45_TLM_DETECTED","Eine ältere Version von Transport Lines Manager von Klyte45 wurde erkannt. Erwägen Sie ein Update auf die Version von t1a2l, um alle Funktionen nutzen zu können.",""
"SETTINGS_ISSUE_DETECTED","Ihre Einstellungen scheinen Probleme zu haben, die Ihre Erfahrung beeinträchtigen könnten.",""
"SETTINGS_ISSUE_DETECTED_QUICKFIX","Schnellbehebung",""
"WHATSNEW_L1","Diese Nachricht soll Sie nur darüber informieren, dass der Mod aktualisiert wurde.",""
"WHATSNEW_L2","Für eine detaillierte Liste der Änderungen besuchen Sie bitte den Steam-Workshop oder GitHub.",""
"WHATSNEW_L3","Vielen Dank für Ihren Einsatz und Ihre Unterstützung!",""
"ERROR","Ups! Irgendetwas lief schief:",""
"ERROR_COPY","Kopieren",""
"ERROR_SUPPORT","Support",""
"MODDESCRIPTION","Betrachten Sie Ihre Stadt aus einer anderen Perspektive","Mod's Description"
"SETTINGS_GROUPNAME_GENERAL","Allgemeine Optionen",""
"SETTINGS_GROUPNAME_CAM","Kameraoptionen",""
"SETTINGS_GROUPNAME_CAMCONTROL","Kamerasteuerung",""
"SETTINGS_GROUPNAME_FREECAM","Optionen für den Freikameramodus",""
"SETTINGS_GROUPNAME_FOLLOW","Optionen für den Folgemodus",""
"SETTINGS_GROUPNAME_WALKTHRU","Optionen für den Durchlaufmodus",""
"SETTINGS_GROUPNAME_KEYMAP","Tastenbelegungen",""
"SETTINGS_GROUPNAME_SMOOTHTRANS","Optionen für sanfte Übergänge",""
"SETTINGS_GROUPNAME_OPT","Optimierungsoptionen",""
"SETTINGS_GROUPNAME_INFOPANEL","Optionen für das Informationspanel",""
"SETTINGS_RESETBTN","Mod-Einstellungen zurücksetzen",""
"SETTINGS_RESETOFFSETBTN","Typ-Einstellungen zurücksetzen",""
"SETTINGS_IMPORT","v2-Einstellungen importieren",""
"SETTINGS_IMPORTCONFIRM","Bestätigen Sie den Import der Einstellungen von First Person Camera v2 (einschließlich Mod-Einstellungen und Typ-Einstellungen)? Dies überschreibt bestehende Mod-Einstellungen und fügt importierte Typ-Einstellungen zu den bestehenden hinzu.",""
"SETTINGS_IMPORTSUCCESSED","Ihre Einstellungen wurden erfolgreich importiert.",""
"SETTINGS_OPENWIKI","Wiki öffnen",""
"SETTINGS_HIDEUI","Spiel-UI ausblenden",""
"SETTINGS_SETBACKCAMERA","Kamera nach Deaktivierung zurücksetzen",""
"SETTINGS_SETBACKCAMERA_DETAIL","Wenn die Ego-Kamera deaktiviert wird, wird sie auf ihre ursprüngliche Position zurückgesetzt",""
"SETTINGS_SHOWINFOPANEL","Infopanel standardmäßig anzeigen",""
"SETTINGS_INFOPANELHEIGHTSCALE","Skalierungsfaktor für die Höhe des Infopanels",""
"SETTINGS_SPEEDUNIT","Geschwindigkeitseinheit",""
"SETTINGS_SHOWSTATUS","Statusinformationen anzeigen",""
"SETTINGS_SHOWELAPSEDTIME","Verstrichene Zeit anzeigen",""
"SETTINGS_SHOWINGAMETIME","Spielzeit anzeigen",""
"SETTINGS_SHOWSLOPE","Steigung anzeigen",""
"SETTINGS_FADE","Einblendanimation für Hauptpanel aktivieren",""
"SETTINGS_MAXPITSHDEG","Maximaler vertikaler Blickwinkel",""
"SETTINGS_MAXPITSHDEG_DETAIL","Der maximale Grad, um die Kamera nach oben und unten zu drehen.",""
"SETTINGS_ENABLEDOF","Tiefenschärfeeffekt anwenden",""
"SETTINGS_MOVEMENTSPEED","Bewegungsgeschwindigkeit",""
