"LANGUAGE","Čeština","Language name (in native language).  This means the NAME OF THE LANGUAGE BEING TRANSLATED INTO, and should NOT be a translation of the word 'English'"
"DISABLED","Deaktivován",""
"LOW","Nízká",""
"MID","Střední",""
"HIGH","Vysoká",""
"K45_TLM_DETECTED","Byla detekována starší verze Transport Lines Manager od Klyte45. Pro plnou podporu funkcí zvažte aktualizaci na verzi od t1a2l.",""
"SETTINGS_ISSUE_DETECTED","Vaše nastavení se zdají mít problémy, které mohou ovlivnit váš zážitek.",""
"SETTINGS_ISSUE_DETECTED_QUICKFIX","Rychlá oprava",""
"WHATSNEW_L1","Tato zpráva je pouze pro informaci, že mod byl aktualizován.",""
"WHATSNEW_L2","Pro podrobný seznam změn navštivte Steam Workshop nebo GitHub.",""
"WHATSNEW_L3","Děkujeme za vaše používání a podporu!",""
"ERROR","Jejda! Něco se pokazilo:",""
"ERROR_COPY","Kopírovat",""
"ERROR_SUPPORT","Podpora",""
"MODDESCRIPTION","Prohlédněte si své město z jiné perspektivy","Mod's Description"
"SETTINGS_GROUPNAME_GENERAL","Obecné možnosti",""
"SETTINGS_GROUPNAME_CAM","Možnosti kamery",""
"SETTINGS_GROUPNAME_CAMCONTROL","Ovládání kamery",""
"SETTINGS_GROUPNAME_FREECAM","Možnosti režimu volné kamery",""
"SETTINGS_GROUPNAME_FOLLOW","Možnosti režimu sledování",""
"SETTINGS_GROUPNAME_WALKTHRU","Možnosti režimu průchodu",""
"SETTINGS_GROUPNAME_KEYMAP","Mapování kláves",""
"SETTINGS_GROUPNAME_SMOOTHTRANS","Možnosti plynulého přechodu",""
"SETTINGS_GROUPNAME_OPT","Optimalizační možnosti",""
"SETTINGS_GROUPNAME_INFOPANEL","Možnosti informačního panelu",""
"SETTINGS_RESETBTN","Obnovit nastavení modu",""
"SETTINGS_RESETOFFSETBTN","Obnovit nastavení typu",""
"SETTINGS_IMPORT","Importovat nastavení v2",""
"SETTINGS_IMPORTCONFIRM","Potvrzujete import nastavení z First Person Camera v2 (včetně nastavení modu a nastavení typu)? Přepíše existující nastavení modu a sloučí importovaná nastavení typu s existujícími.",""
