"LANGUAGE","Suomi","Language name (in native language).  This means the NAME OF THE LANGUAGE BEING TRANSLATED INTO, and should NOT be a translation of the word 'English'"
"DISABLED","Poistettu käytöstä",""
"LOW","Matala",""
"MID","Keskitaso",""
"HIGH","Korkea",""
"K45_TLM_DETECTED","Klyte45:n vanhempi versio Transport Lines Managerista havaittu. Harkitse päivittämistä t1a2l:n versioon täyden ominaisuustuen saamiseksi.",""
"SETTINGS_ISSUE_DETECTED","Asetuksissasi näyttää olevan ongelmia, jotka voivat vaikuttaa kokemukseesi.",""
"SETTINGS_ISSUE_DETECTED_QUICKFIX","Pikakorjaus",""
"WHATSNEW_L1","Tämä viesti on vain tiedoksi, että modia on päivitetty.",""
"WHATSNEW_L2","Muutosten yksityiskohtaista luetteloa varten käy Steam Workshopissa tai GitHubissa.",""
"WHATSNEW_L3","Kiitos käytöstä ja tuestasi!",""
"ERROR","Hups! Jotain meni pieleen:",""
"ERROR_COPY","Kopioi",""
"ERROR_SUPPORT","Tuki",""
"MODDESCRIPTION","Katso kaupunkiasi eri näkökulmasta","Mod's Description"
"SETTINGS_GROUPNAME_GENERAL","Yleiset asetukset",""
"SETTINGS_GROUPNAME_CAM","Kamera-asetukset",""
"SETTINGS_GROUPNAME_CAMCONTROL","Kameran ohjaus",""
"SETTINGS_GROUPNAME_FREECAM","Vapaan kameratilan asetukset",""
"SETTINGS_GROUPNAME_FOLLOW","Seuraustilan asetukset",""
"SETTINGS_GROUPNAME_WALKTHRU","Läpikulkutilan asetukset",""
"SETTINGS_GROUPNAME_KEYMAP","Näppäinmääritykset",""
"SETTINGS_GROUPNAME_SMOOTHTRANS","Sulavan siirtymän asetukset",""
"SETTINGS_GROUPNAME_OPT","Optimointiasetukset",""
"SETTINGS_RESETBTN","Nollaa modin asetukset",""
"SETTINGS_RESETOFFSETBTN","Nollaa tyypin asetukset",""
"SETTINGS_IMPORT","Tuo v2-asetukset",""
"SETTINGS_IMPORTCONFIRM","Vahvistatko asetusten tuonnin First Person Camera v2:sta (mukaan lukien modin asetukset ja tyypin asetukset)? Tämä korvaa olemassa olevat modin asetukset ja yhdistää tuodut tyypin asetukset olemassa oleviin.",""
"SETTINGS_IMPORTSUCCESSED","Asetuksesi on tuotu onnistuneesti.",""
"SETTINGS_OPENWIKI","Avaa Wiki",""
"SETTINGS_HIDEUI","Piilota pelin käyttöliittymä",""
"SETTINGS_SETBACKCAMERA","Nollaa kamera käytöstä poiston jälkeen",""
"SETTINGS_SETBACKCAMERA_DETAIL","Kun ensimmäisen persoonan kamera poistetaan käytöstä, palauta se alkuperäiseen sijaintiinsa",""
"SETTINGS_SHOWINFOPANEL","Näytä tietopaneeli oletuksena",""
"SETTINGS_INFOPANELHEIGHTSCALE","Tietopaneelin korkeuden skaalauskerroin",""
"SETTINGS_SPEEDUNIT","Nopeuden yksikkö",""
"SETTINGS_FADE","Ota käyttöön pääpaneelin haalistusanimaatio",""
