"LANGUAGE","Español","Language name (in native language).  This means the NAME OF THE LANGUAGE BEING TRANSLATED INTO, and should NOT be a translation of the word 'English'"
"DISABLED","Desactivado",""
"LOW","Baja",""
"MID","Medio",""
"HIGH","Alto",""
"K45_TLM_DETECTED","Se detecta una versión anterior de Transport Lines Manager de Klyte45. Considere actualizar a la versión de t1a2 para soporte completo de características.",""
"SETTINGS_ISSUE_DETECTED","Tu configuración parece tener problemas que pueden afectar tu experiencia.",""
"SETTINGS_ISSUE_DETECTED_QUICKFIX","Corrección rápida",""
"WHATSNEW_L1","Este mensaje es solo para informarle que el mod se ha actualizado.",""
"WHATSNEW_L2","Para obtener una lista detallada de los cambios, consulte Steam Workshop o GitHub.",""
"WHATSNEW_L3","¡Gracias por su uso y apoyo!",""
"ERROR","¡Ups! Algo salió mal:",""
"ERROR_COPY","Copiar",""
"ERROR_SUPPORT","Asistencia",""
"MODDESCRIPTION","Ve tu ciudad desde una perspectiva diferente","Mod's Description"
"SETTINGS_GROUPNAME_GENERAL","Opciones Generales",""
"SETTINGS_GROUPNAME_CAM","Opciones de Cámara",""
"SETTINGS_GROUPNAME_CAMCONTROL","Controles de Cámara",""
"SETTINGS_GROUPNAME_FREECAM","Opciones de modo de cámara libre",""
"SETTINGS_GROUPNAME_FOLLOW","Opciones de Modo Seguir",""
"SETTINGS_GROUPNAME_WALKTHRU","Opciones de Modo Caminata",""
"SETTINGS_GROUPNAME_KEYMAP","Asignación de teclas",""
"SETTINGS_GROUPNAME_SMOOTHTRANS","Opciones de transición suave",""
"SETTINGS_GROUPNAME_OPT","Opciones de optimización",""
"SETTINGS_GROUPNAME_INFOPANEL","Opciones del panel de información",""
"SETTINGS_RESETBTN","Restablecer ajustes del Mod",""
"SETTINGS_RESETOFFSETBTN","Restablecer ajustes de tipo",""
"SETTINGS_IMPORT","Importar ajustes de v2",""
"SETTINGS_IMPORTCONFIRM","¿Confirma importar los ajustes de First Person Camera v2 (incluyendo los ajustes de mod y tipo)? Sobrescribirá los ajustes de mod existentes y fusionará los ajustes de tipo importados con los existentes.",""
"SETTINGS_IMPORTSUCCESSED","La configuración se ha importado correctamente.",""
"SETTINGS_OPENWIKI","Abrir Wiki",""
"SETTINGS_HIDEUI","Ocultar IU del juego",""
"SETTINGS_SETBACKCAMERA","Restablecer cámara después de desactivar",""
"SETTINGS_SETBACKCAMERA_DETAIL","Al desactivar la cámara FPS, restablecerla a su posición original",""
"SETTINGS_SHOWINFOPANEL","Mostrar panel de información por defecto",""
"SETTINGS_INFOPANELHEIGHTSCALE","Factor de escala de la altura del panel de información",""
"SETTINGS_SPEEDUNIT","Unidad de velocidad",""
"SETTINGS_SHOWSTATUS","Mostrar información de estado",""
"SETTINGS_SHOWELAPSEDTIME","Mostrar tiempo transcurrido",""
"SETTINGS_SHOWELAPSEDSIMTIME","Mostrar tiempo de simulación transcurrido",""
"SETTINGS_SHOWINGAMECLOCK","Mostrar reloj del juego",""
"SETTINGS_SHOWREALLIFECLOCK","Mostrar reloj de hora real",""
"SETTINGS_SHOWSLOPE","Mostrar pendiente",""
"SETTINGS_SHOWPASSEREXCHANGEINFO","Mostrar intercambio de pasajeros",""
"SETTINGS_SHOWPASSEREXCHANGEINFO_DETAIL","Muestra cuántos pasajeros bajaron y subieron en la parada al seguir un vehículo de transporte público.",""
"SETTINGS_FADE","Activar animaciones de fundido de los paneles",""
"SETTINGS_MAXPITSHDEG","Ángulo de visión vertical máximo",""
"SETTINGS_MAXPITSHDEG_DETAIL","Grado máximo de rotación de la cámara hacia arriba y hacia abajo.",""
"SETTINGS_ENABLEDOF","Aplicar efecto de profundidad del campo",""
"SETTINGS_MOVEMENTSPEED","Velocidad de movimiento",""
"SETTINGS_SPEEDUPFACTOR","Factor acelerador para movimiento/desplazamiento",""
"SETTINGS_INVERTROTATEHORIZONTAL","Invertir rotación horizontal",""
"SETTINGS_INVERTROTATEVERTICAL","Invertir rotación vertical",""
"SETTINGS_ROTATESENSITIVITY","Sensibilidad a la rotación de la cámara",""
"SETTINGS_ROTATEKEYFACTOR","Velocidad de rotación mediante teclas",""
"SETTINGS_FIELDOFVIEW","Campo de visión de la cámara",""
"SETTINGS_PATHS_DETECTION","Colisión por caminos peatonales",""
"SETTINGS_TRACKS_DETECTION","Colisión por vías",""
"SETTINGS_DETECTIONS_DETAIL","Desactivarlo si no funciona bien con algunos assets",""
"SETTINGS_SHOWCURSORFREE","Mostrar cursor en modo Cámara Libre",""
"SETTINGS_GROUNDCLIPING","Opción de recorte del suelo",""
"SETTINGS_GROUNDCLIPING_DETAIL","Para el modo de cámara libre:
-[Ninguno] movimiento libre
-[Sobre el suelo] la cámara siempre está sobre el suelo
-[Pegar al suelo] la cámara se adhiere al suelo
-[Sobre la carretera] la cámara siempre está sobre la carretera más cercana
-[Pegar a la carretera] la cámara se adhiere a la carretera o suelo más cercano",""
"SETTINGS_GROUNDCLIPING_NONE","Ninguno",""
"SETTINGS_GROUNDCLIPING_ABOVE_GROUND","Sobre el suelo",""
"SETTINGS_GROUNDCLIPING_SNAP_TO_GROUND","Ajustar al suelo",""
"SETTINGS_GROUNDCLIPING_ABOVE_ROAD","Sobre el camino",""
"SETTINGS_GROUNDCLIPING_SNAP_TO_ROAD","Ajustar al camino",""
"SETTINGS_GROUNDLEVELOFFSET","Desplazamiento del nivel del suelo",""
"SETTINGS_GROUNDLEVELOFFFSET_DETAIL","Desplazamiento vertical para el nivel del suelo de la opción de recorte del suelo",""
"SETTINGS_ROADLEVELOFFSET","Desplazamiento del nivel de carretera",""
"SETTINGS_ROADLEVELOFFSET_DETAIL","Desplazamiento vertical para el nivel de carretera para la opción de recorte del suelo",""
"SETTINGS_TARGETSTOFOLLOW","Objetivos a seguir:",""
"SETTINGS_SHOWCURSORFOLLOW","Mostrar cursor en modo Seguir/Recorrido",""
"SETTINGS_STICKTOFRONTVEHICLE","Seguir siempre al vehículo delantero",""
"SETTINGS_OFFSETMOVEMENTSPEED","Velocidad de movimiento de desplazamiento",""
"SETTINGS_FOLLOWCAMOFFSET","Desplazamiento universal de cámara en modo Seguir",""
"SETTINGS_VEHICLEFIXEDOFFERT","Desplazamiento fijo de cámara para vehículo",""
"SETTINGS_MIDVEHFIXEDOFFSET","Desplazamiento fijo de cámara para vehículo en el centro",""
"SETTINGS_PEDSTRIANFIXEDOFFSET","Desplazamiento fijo de cámara para peatón",""
"SETTINGS_PERIODWALK","Período para cada objetivo aleatorio",""
"SETTINGS_MANUALSWITCHWALK","Cambio manual de objetivo (Clic Secundario)",""
"SETTINGS_MANUALSWITCHWALK_DETAIL","Utilice el clic secundario del ratón para cambiar los objetivos de seguimiento en su lugar.",""
"SETTINGS_SELECTPEDESTRIAN","Peatones caminando",""
"SETTINGS_SELECTPASSENGER","Peatones en transporte público",""
"SETTINGS_SELECTWAITING","Peatones esperando transporte público",""
"SETTINGS_SELECTDRIVING","Ciudadanos conduciendo/viajando",""
"SETTINGS_SELECTPUBLICTRANSIT","Vehículos de transporte público",""
"SETTINGS_SELECTSERVICE","Vehículos de servicio",""
"SETTINGS_SELECTCARGO","Vehículos de carga",""
"SETTINGS_SELECTOUTSIDE","Objetivos fuera del límite",""
"SETTINGS_KEYCAMTOGGLE","Modo cámara libre",""
"SETTINGS_KEYWALKTHRUTOGGLE","Modo Recorrido",""
"SETTINGS_KEYTOGGLE_DETAIL","Cambiar a este modo al presionar. Si ya está activo, deshabilitará la Cámara FPS",""
"SETTINGS_KEYFOLLOWTOGGLE","Modo Seguir: Alternar Vanilla/Mod",""
"SETTINGS_KEYFOLLOWTOGGLE_DETAIL","Alternar entre la vista de seguimiento vanilla y el modo de seguimiento del mod",""
"SETTINGS_KEYINFOPANELTOGGLE","Alternar panel de información",""
"SETTINGS_KEYSPPEDUP","Acelerar movimiento/desplazamiento",""
"SETTINGS_KEYCAMRESET","Restablecer desplazamiento y rotación de cámara",""
"SETTINGS_KEYCURSORTOGGLE","Alternar visibilidad del cursor",""
"SETTINGS_KEYAUTOMOVE","Alternar movimiento automático en modo cámara libre",""
"SETTINGS_KEYAUTOMOVE_DETAIL","La cámara se mueve hacia adelante automáticamente cuando está activado.",""
"SETTINGS_KEYSAVEFOFFSET","Guardar ajuste de tipo",""
"SETTINGS_KEYSAVEFOFFSET_DETAIL","En modo Seguir/Recorrido, guardar los ajustes actuales de desplazamiento y rotación de cámara
como el ajuste de tipo para el objetivo seguido",""
"SETTINGS_KEYMOVEFORWARD","Mover/Desplazar hacia adelante",""
"SETTINGS_KEYMOVEBACKWARD","Mover/Desplazar hacia atrás",""
